rank,type_key,ifc_class,instances,discipline,tier,proposed_code,proposed_code_label,evidence_sibling_type,evidence_sibling_instances,sibling_coded_instances_in_class,sibling_distinct_codes_in_class,join_key_ambiguous
1,Pipe Types:Standard,IfcPipeSegment,5950,MECH,derived:ai,,,,,0,0,
2,Pipe Types:Threaded Under 65mm,IfcPipeSegment,5758,SPR,derived:ai,,,,,0,0,
3,M_Elbow - Generic:Standard,IfcPipeFitting,3115,MECH,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
4,Elbow Reducing - Threaded - MI - Class 150:Standard,IfcPipeFitting,2633,SPR,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
5,Curtain Wall:Storefront,IfcMember,2530,ARC,derived:sibling,B2020200,Curtain Walls,Curtain Wall:Profilit-K41-Thermally Broken Framing-K50_41_6,1580,1580,1,no
6,Round Duct:Taps,IfcDuctSegment,2490,MECH,derived:ai,,,,,0,0,
7,Curtain Wall:Storefront - Rib End,IfcMember,1518,ARC,derived:sibling,B2020200,Curtain Walls,Curtain Wall:Profilit-K41-Thermally Broken Framing-K50_41_6,1580,1580,1,no
8,Pipe Types:PVC,IfcPipeSegment,1414,PLB,derived:ai,,,,,0,0,
9,Tee Reducing - Threaded - MI - Class 150:Standard,IfcPipeFitting,1381,SPR,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
10,"Sprinkler - Pendent - Hosted:1/2"" Pendent",IfcFireSuppressionTerminal,1354,SPR,derived:ai,,,,,0,0,
11,M_Transition - Generic:Standard,IfcPipeFitting,1323,PLB,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
12,Rectangular Duct:Mitered Elbows / Taps,IfcDuctSegment,1238,MECH,derived:ai,,,,,0,0,
13,Curtain Wall:Exterior Glazing,IfcMember,1164,ARC,derived:sibling,B2020200,Curtain Walls,Curtain Wall:Profilit-K41-Thermally Broken Framing-K50_41_6,1580,1580,1,no
14,M_Duplex Receptacle:Standard,IfcBuildingElementProxy,1111,ELE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
15,M_Tee - Generic:Standard,IfcPipeFitting,1070,MECH,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
